,City,NickName,Province,Sex,Signature
108,文昌,张小爷,海南,2,"奇迹一定会发生
愿你被世界温柔以待"
109,长沙,王爱颜,湖南,2,努力一点，再努力一点，就能够着你！
110,,哈哈哈👻,,2,"<span class=""emoji emoji1f340""></span>"
111,三亚,呃呃呃呃呃,海南,1,
112,海口,林。,海南,2,得失离散，周而复始。
113,琼海,🌹 南飞雁 🌹,海南,2,遇见对的人，才是幸福的开始，找彼此懂的心，才能完美人生。
114,佛山,胥堃,广东,1,认真做好每一件事，拒绝眼高手低。
115,海淀,(wa+yi)ng,北京,2,
116,海口,木子@JESS招商负责人,海南,2,让你成就财富!让JESS铸就未来!
117,海口,五格,海南,2,既然选择远方，就应该风雨兼程
118,琼海,Wu_LT🍀,海南,2,不忘初心，方得始终。
119,,Big Bolo,Dubayy,2,牙套菠的一生
120,海口,帅帅文具(海师店),海南,1,"心中若有桃花源, 何处不是水云间?"
121,琼海,花花,海南,2,Smiling face every day……
122,Los Angeles City,小坏才,California,1,路漫漫其修远兮，吾将上下而求索！
123,,ye,Paris,2,
124,琼海,cccc,海南,1,由心前行  随遇而安
125,海口,达苏,海南,1,喜欢就去做，不需要考虑！！！！
126,惠州,昶,广东,1,你知道当你想要个夏天我会拼了命努力
127,厦门,never give up,福建,1,懂得做人做事就好，加油！
128,三亚,康屹@JESS玫瑰护肤,海南,1,
129,武汉,七月seven,湖北,2,
130,昆明,格桑梅朵,云南,0,你与我相遇，这就是缘分
131,,小柚子,,0,
132,海口,Miss.Zkw,海南,2,快，带我去吃好吃的
133,深圳,汤汤,广东,2,HW。
134,武汉,攀,湖北,1,一期一会
135,,半边草,,1,早已物是人非
136,海口,陳 小八,海南,1,趁着年轻别放弃奔跑。
137,,小少爷,,2,活得漂亮'过的精彩
138,海口,南宝路 ☀ 🎉,海南,1,
139,海口,琴瑟,海南,2,
140,广州,bb🌸,广东,2,better me
141,聊城,赤兔少女,山东,2,我遇见谁，会有怎样的对白
142,陵水,厉害！了！我的哥,海南,1,13876217436
143,琼海,草瑜,海南,1,我爱的女孩啊，愿你不老不死，幸福美丽！
144,,daYu🎀,Negeri Sembilan,2,❄认真的雪❄
145,三亚,加油，前进,海南,1,花开半夏
146,,柒秒钟记忆,,2,
147,海口,颖plus 🐽,海南,2,"心无旁骛 好好赚钱<span class=""emoji emoji1f60c""></span>"
148,琼海,💪💪💪,海南,1,你不将就生活时，生活才会厚爱于你
149,乐东,～遗忘～,海南,2,。。。。。。
150,铜陵,her,安徽,2,万物皆有裂痕，那是光照进来的地方
151,儋州,蓝胖子biu ～,海南,2,
152,三亚,梅子@JESS巅峰团创始人,海南,2,常怀感恩之心，先做人再做事——巅峰团
153,,M。,,2,
154,定安,ʚ財蜜ɞ,海南,1,重新开始。
155,广州,Angel,广东,2,恋一张床，爱一个家。
156,,JESS02总部一级收款专用号,,0,
157,,😱13138930230,Barcelona,1,“相信的人多，看见的人少”
158,武汉,哼哼,湖北,1,
159,海口,Mary,海南,2,
160,Tampin,panda,Negeri Sembilan,1,
161,琼海,理性之,海南,1,不念过往，不惧未来。
162,海口,林洁 @JESS  招商负责人,海南,2,"尊享玫瑰 <span class=""emoji emoji1f339""></span> 专注护肤  <span class=""emoji emoji1f339""></span> 面向全国招收代理加盟商"
163,西城,酥咦,北京,2,I was within and without
164,,白白白白白,,2,yi k k h g f j
165,三亚,JESS玫瑰护肤～梁定坤,海南,1,工作是一种人生修行
166,Port Augusta,💃😊云💃,South Australia,2,           
167,海口,喂袋盐,海南,1,
168,Hobart,Leo,Tasmania,1,蜗牛可以很快
169,海口,小冰块儿🐬,海南,2,一闪一闪亮晶晶～
170,琼海,最重要的决定,海南,2,初心
171,海口,梅姐🏆JESS巅峰团队创始人,海南,2,"接转各种实体行业转型，不聊语音，文字交流<span class=""emoji emoji1f4a1""></span>"
172,,Dream.,Stuttgart,1,为了更美好的明天而战
173,琼海,许宇玉,海南,2,不要随遇而安，要迎刃而上
174,长治,托托,山西,2,青春就是这样
175,中山,So_so_rrY,广东,2,安然自若。
176,三亚,张婷～,海南,2,三亞玫瑰谷❁JESS玫瑰护肤                                   
177,海口,Tina-L,海南,2,
178,海口,😘薇薇🎉💴💖,海南,2,过去的，别再遗憾；未来的，无须忧虑；现在的，加倍珍惜。
179,Chicago City,徐一鸣,Illinois,1,
180,,郭海峰,,1,厚德载物
181,三亚,霸主女艾小萱,海南,2,"2017.4.9 誓约<span class=""emoji emoji1f4d6""></span>：我是一个自信、强大、担当的女人！"
182,合肥,里知,安徽,2,
183,常州,管媚婷🍒🍠🍓,江苏,2,啊哈
184,广州,Vinca～姗,广东,2,
185,儋州,正Tian,海南,1,困知勉行。
186,海口,阿包,海南,1,心有欢喜过生活~
187,琼海,shero,海南,2,
188,海口,奇小姐,海南,2,树人先树脊，无脊枉为人
189,万宁,LHG,海南,1,
190,,TUT_MY_HEART,,1,不忘初心 继续前进
191,,那年____夏天,Canberra,1,免费电影！公众号：电影之道
192,湾仔区,A颜贵平,香港,1,凌“““““”””””乱““““””””
193,海口,追逐梦想,海南,1,成功的途径全力以赴的工作
194,三亚,筱筱,海南,2,         
195,,浮夸半生,,1,.！
196,琼海,何荣声,海南,1,被埋没的英雄终究是英雄，发迹的小丑终究是小丑。
197,,李老三,,1,
198,,梁毓豪,,0,
199,荆门,yuanRui,湖北,2,幸运儿
